"Name; Size/Type; Alignment; AC; Armor; HP; Hit Dice; Speed; STR; DEX; CON; INT; WIS; CHA; Saving Throws; Skills; Damage Resistances; Damage Immunities; Condition Immunities; Senses; Languages; CR; XP; Description; Attack; Legendary Actions; Special Abilities"
"Giant Rat (Γιγαντιαίος Αρουραίος); Μικρό θηρίο; αδιάφορο; 12; φυσική επιδερμίδα; 7; 2d6; 9 μ.; 7; 15; 11; 2; 10; 4; ; ; ; ; ; Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 10 (Παθητική Αντίληψη); —; 1/8; 25; Αρουραίος με λαμπερά κόκκινα μάτια που ζει σε σμήνη μέσα σε υπόγεια και σκουπιδότοπους — κινείται γρήγορα και κρύβεται εύκολα σε στενά περάσματα.; Δάγκωμα. Επίθεση Όπλου Σώμα με Σώμα: +4 στο χτύπημα, εμβέλεια 1,5μ., ένας στόχος. Χτύπημα: 1d4+2 ζημιά διάτρησης.; ; Οξεία Όσφρηση (Keen Smell). Ο αρουραίος έχει Πλεονέκτημα σε Δοκιμές Αντίληψης βασισμένες στην όσφρηση.<br><br>Ομαδική Τακτική (Pack Tactics). Ο αρουραίος έχει Πλεονέκτημα στη ζαριά επίθεσης αν τουλάχιστον ένας σύμμαχός του βρίσκεται δίπλα στον στόχο."
"Kobold (Κόμπολντ); Μικρό ανθρωποειδές (κόμπολντ); νόμιμο κακό; 12; φυσική επιδερμίδα; 5; 2d6-2; 9 μ.; 7; 15; 9; 8; 7; 8; ; ; ; ; ; Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 8 (Παθητική Αντίληψη); Common (Κοινή), Draconic (Δρακική); 1/8; 25; Μικρόσωμο λεπιδωτό πλάσμα που ζει σε ουρές μέσα σε τούνελ και στήνει απλές παγίδες — δειλό μόνο του, αλλά παλεύει καλύτερα σε ομάδα με άλλα κόμπολντ.; Στιλέτο. Επίθεση Όπλου Σώμα με Σώμα: +4 στο χτύπημα, εμβέλεια 1,5μ., ένας στόχος. Χτύπημα: 1d4+2 ζημιά διάτρησης.<br><br>Σφεντόνα. Επίθεση Όπλου εξ Αποστάσεως: +4 στο χτύπημα, εμβέλεια 9/36μ., ένας στόχος. Χτύπημα: 1d4+2 ζημιά μωλωπισμού.; ; Ομαδική Τακτική (Pack Tactics). Πλεονέκτημα στη ζαριά επίθεσης αν σύμμαχος είναι δίπλα στον στόχο.<br><br>Ευαισθησία στο Φως (Sunlight Sensitivity). Μειονέκτημα σε ζαριές επίθεσης και Αντίληψης στο φως του ήλιου."
"Goblin (Γκόμπλιν); Μικρό ανθρωποειδές (γκομπλινοειδές); ουδέτερο κακό; 15; δερμάτινη πανοπλία, ασπίδα; 7; 2d6; 9 μ.; 8; 14; 10; 10; 8; 8; ; Stealth +6 (Κρυφότητα); ; ; ; Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 9 (Παθητική Αντίληψη); Common (Κοινή), Goblin (Γκομπλινική); 1/4; 50; Πράσινο ανθρωποειδές με πονηρό χαμόγελο που ζει σε φυλές μέσα σε σπηλιές και φρούρια — πολύ γρήγορο, μπορεί να αποχωρήσει από μάχη χωρίς κίνδυνο.; Σπαθάκι. Επίθεση Όπλου Σώμα με Σώμα: +4 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d6+2 ζημιά κοπής.<br><br>Κοντό Τόξο. Επίθεση Όπλου εξ Αποστάσεως: +4 στο χτύπημα, εμβέλεια 24/96μ. Χτύπημα: 1d6+2 ζημιά διάτρησης.; ; Ευέλικτη Διαφυγή (Nimble Escape). Μπορεί να αποχωρήσει ή να κρυφτεί ως bonus ενέργεια κάθε γύρο."
"Skeleton (Σκελετός); Μεσαίο απέθαντο; νόμιμο κακό; 13; κομμάτια πανοπλίας; 13; 2d8+4; 9 μ.; 10; 14; 15; 6; 8; 5; ; ; Vulnerable to bludgeoning damage (Ευάλωτος σε μωλωπιστική ζημιά); poison (δηλητήριο); exhaustion (εξάντληση), poisoned (δηλητηρίαση); Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 9 (Παθητική Αντίληψη); Understands the languages it knew in life but can't speak (Καταλαβαίνει τις γλώσσες που ήξερε εν ζωή, αλλά δεν μπορεί να μιλήσει); 1/4; 50; Τα κόκαλα παλιού πολεμιστή, σηκωμένα με σκοτεινή μαγεία — φυλάει ό,τι του έχει ανατεθεί χωρίς κούραση, αλλά παίρνει διπλάσια ζημιά από ρόπαλα και σφυριά.; Κοντό Σπαθί. Επίθεση Όπλου Σώμα με Σώμα: +4 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d6+2 ζημιά διάτρησης.<br><br>Κοντό Τόξο. Επίθεση Όπλου εξ Αποστάσεως: +4 στο χτύπημα, εμβέλεια 24/96μ. Χτύπημα: 1d6+2 ζημιά διάτρησης.; ; "
"Zombie (Ζόμπι); Μεσαίο απέθαντο; ουδέτερο κακό; 8; φυσική επιδερμίδα; 22; 3d8+9; 6 μ.; 13; 6; 16; 3; 6; 5; WIS +0; ; ; poison (δηλητήριο); poisoned (δηλητηρίαση); Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 8 (Παθητική Αντίληψη); Understands the languages it knew in life but can't speak (Καταλαβαίνει τις γλώσσες που ήξερε εν ζωή, αλλά δεν μπορεί να μιλήσει); 1/4; 50; Αργό, ανελέητο σώμα που κινείται χωρίς ζωή και δεν κουράζεται ποτέ — δύσκολο να το ρίξεις αναίσθητο εντελώς.; Χτύπημα. Επίθεση Όπλου Σώμα με Σώμα: +3 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d6+1 ζημιά μωλωπισμού.; ; Απαρέγκλιτη Αντοχή (Undead Fortitude). Αν μια ζημιά φέρει το ζόμπι στα 0 HP, κάνει Σωτηρία Αντοχής (DC = 5 + ζημιά, εκτός αν είναι κρίσιμο χτύπημα ή ζημιά ακτινοβολίας) — αν πετύχει, μένει στη ζωή με 1 HP."
"Wolf (Λύκος); Μεσαίο θηρίο; αδιάφορο; 13; φυσική επιδερμίδα; 11; 2d8+2; 12 μ.; 12; 15; 12; 3; 12; 6; ; Perception +3 (Αντίληψη), Stealth +4 (Κρυφότητα); ; ; ; Passive Perception 13 (Παθητική Αντίληψη); —; 1/4; 50; Γκρίζος, γρήγορος κυνηγός που ζει και κυνηγάει σε αγέλες μέσα στο δάσος — πιο επικίνδυνος όταν δεν είναι μόνος.; Δάγκωμα. Επίθεση Όπλου Σώμα με Σώμα: +4 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 2d4+2 ζημιά διάτρησης. Αν ο στόχος είναι πλάσμα, κάνει Σωτηρία Δύναμης (DC 11) ή πέφτει Πεσμένος.; ; Οξεία Ακοή και Όσφρηση (Keen Hearing and Smell). Πλεονέκτημα σε Δοκιμές Αντίληψης βασισμένες στην ακοή ή την όσφρηση.<br><br>Ομαδική Τακτική (Pack Tactics). Πλεονέκτημα στη ζαριά επίθεσης αν σύμμαχος είναι δίπλα στον στόχο."
"Bandit (Ληστής); Μεσαίο ανθρωποειδές (άνθρωπος); χαοτικό ουδέτερο; 12; δερμάτινη πανοπλία; 12; 2d8+2; 9 μ.; 11; 12; 12; 10; 10; 10; ; ; ; ; ; Passive Perception 10 (Παθητική Αντίληψη); Common (Κοινή); 1/8; 25; Άνθρωπος εκτός νόμου που κλέβει ταξιδιώτες από τους δρόμους — προτιμά να κλέψει και να φύγει παρά να παλέψει μέχρι τέλους.; Σπαθί. Επίθεση Όπλου Σώμα με Σώμα: +3 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d6+1 ζημιά κοπής.<br><br>Χιαστό Τόξο. Επίθεση Όπλου εξ Αποστάσεως: +3 στο χτύπημα, εμβέλεια 24/96μ. Χτύπημα: 1d8+1 ζημιά διάτρησης.; ; "
"Orc (Ορκ); Μεσαίο ανθρωποειδές (ορκ); χαοτικό κακό; 13; πανοπλία δέρματος; 15; 2d8+6; 9 μ.; 16; 12; 16; 7; 11; 10; ; Intimidation +2 (Εκφοβισμός); ; ; ; Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 10 (Παθητική Αντίληψη); Common (Κοινή), Orc (Ορκική); 1/2; 100; Ψηλός, μυώδης πολεμιστής φυλής που ζει στα βουνά και πολεμά με ορμή — τρέχει γρήγορα προς τον στόχο του και χτυπάει πρώτο.; Μεγάλο Τσεκούρι. Επίθεση Όπλου Σώμα με Σώμα: +5 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d12+3 ζημιά κοπής.<br><br>Ακόντιο. Επίθεση Όπλου Σώμα με Σώμα ή εξ Αποστάσεως: +5 στο χτύπημα, εμβέλεια 1,5μ. ή 9/36μ. Χτύπημα: 1d6+3 ζημιά διάτρησης.; ; Επιθετικότητα (Aggressive). Ως bonus ενέργεια, το ορκ μπορεί να κινηθεί μέχρι την ταχύτητά του προς έναν εχθρό που βλέπει."
"Gryphon (Γρύπας); Μεγάλο τερατόμορφο; αδιάφορο; 12; φυσική επιδερμίδα; 59; 7d10+21; 9 μ., πτήση 24 μ.; 18; 15; 16; 2; 13; 8; ; Perception +5 (Αντίληψη); ; ; ; Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 15 (Παθητική Αντίληψη); —; 2; 450; Μισός αετός, μισό λιοντάρι — φτιάχνει τη φωλιά του σε απόκρημνες κορυφές βουνών και πετάει ψηλά για να επιτεθεί και να ξεφύγει εύκολα.; Πολλαπλή Επίθεση. Ο γρύπας επιτίθεται δύο φορές: μία με το ράμφος του και μία με τα νύχια του.<br><br>Ράμφος. Επίθεση Όπλου Σώμα με Σώμα: +6 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d8+4 ζημιά διάτρησης.<br><br>Νύχια. Επίθεση Όπλου Σώμα με Σώμα: +6 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 2d6+4 ζημιά κοπής.; ; Οξεία Όραση (Keen Sight). Ο γρύπας έχει Πλεονέκτημα σε Δοκιμές Αντίληψης βασισμένες στην όραση."
"Owlbear (Κουκουβαγιάρκτος); Μεγάλο τερατόμορφο; αδιάφορο; 13; φυσική επιδερμίδα; 59; 7d10+21; 12 μ.; 20; 12; 17; 3; 12; 7; ; Perception +3 (Αντίληψη); ; ; ; Darkvision 60 ft. (Νυχτερινή Όραση), Passive Perception 13 (Παθητική Αντίληψη); —; 3; 700; Μισή αρκούδα, μισή κουκουβάγια — βρυχάται τόσο δυνατά πριν επιτεθεί που ακούγεται από μακριά μέσα στο δάσος.; Πολλαπλή Επίθεση. Ο κουκουβαγιάρκτος επιτίθεται δύο φορές: μία με το ράμφος του και μία με τα νύχια του.<br><br>Ράμφος. Επίθεση Όπλου Σώμα με Σώμα: +7 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 1d10+5 ζημιά διάτρησης.<br><br>Νύχια. Επίθεση Όπλου Σώμα με Σώμα: +7 στο χτύπημα, εμβέλεια 1,5μ. Χτύπημα: 2d8+5 ζημιά κοπής.; ; Οξεία Όραση και Όσφρηση (Keen Sight and Smell). Ο κουκουβαγιάρκτος έχει Πλεονέκτημα σε Δοκιμές Αντίληψης βασισμένες στην όραση ή την όσφρηση."
