"Name; Level; Class; School; Range; Attack/Save; Save DC; Damage/Effect; Duration; Description"
"Fire Bolt (Φλόγα Χεριού); Κάντριπ; Μάγος; Evocation; 36m; Ζαριά Επίθεσης (Attack Roll); —; 1d10 ζημιά φωτιάς (fire); Στιγμιαία (Instant); Μια μικρή σπίθα φωτιάς εκτοξεύεται από το δάχτυλό σας και εκρήγνυται στον στόχο. Το πιο αξιόπιστο όπλο κάθε αρχάριου μάγου — δεν χρειάζεται slot, οπότε ρίχνεται όσο συχνά χρειαστεί χωρίς να εξαντλήσει τη μαγεία της ημέρας."
"Magic Missile (Μαγική Βολή); 1; Μάγος; Evocation; 36m; Αυτόματο (Automatic, πάντα πετυχαίνει); —; 1d4+1 ×3 βέλη ζημιά δύναμης; Στιγμιαία (Instant); Τρία λαμπερά βέλη μαγείας εκτοξεύονται από το χέρι σας και πετυχαίνουν πάντα τον στόχο τους, χωρίς ζαριά επίθεσης. Μπορείτε να τα στείλετε όλα σε έναν εχθρό ή να τα μοιράσετε σε πολλούς — ιδανικό όταν η ακρίβεια μετράει περισσότερο από τον όγκο ζημιάς."
"Thunderwave (Κύμα Βροντής); 1; Μάγος; Evocation; Self (γύρω σας); Σωτηρία Αντοχής (Saving Throw CON); 13; 2d8 ζημιά βροντής (thunder) (μισή αν πετύχουν), σπρώχνει 3m; Στιγμιαία (Instant); Ένα κύμα αόρατης ενέργειας ξεσπάει γύρω σας με έναν δυνατό κρότο σαν βροντή, σπρώχνοντας τους εχθρούς μακριά. Χτυπάει τους πάντες γύρω σας, οπότε προσέξτε να μην είναι κοντά σας κάποιος σύμμαχος."
"Burning Hands (Καίουσες Χούφτες); 1; Μάγος; Evocation; Κώνος 4.5m; Σωτηρία Επιδεξιότητας (Saving Throw DEX); 13; 3d6 ζημιά φωτιάς (fire) (μισή αν πετύχουν); Στιγμιαία (Instant); Τεντώνετε τα χέρια σας και μια γλώσσα φωτιάς ξεχύνεται μπροστά σας σε σχήμα κώνου. Ιδανικό όταν αρκετοί εχθροί στέκονται σε γραμμή μπροστά σας — μία ζαριά, πολλαπλά χτυπήματα."
"Sleep (Ύπνος); 1; Μάγος; Enchantment; 27m; Αυτόματο (Automatic, χωρίς ζαριά/σωτηρία); —; Έως 5d8 HP πλασμάτων αποκοιμιούνται; 1 λεπτό (ή μέχρι να πάρουν ζημιά ή να τους ξυπνήσουν); Ένας απαλός μαγικός ψίθυρος βυθίζει τους πιο αδύναμους εχθρούς σε βαθύ ύπνο, χωρίς καν να καταλάβουν τι τους χτύπησε. Πολύ ισχυρό εναντίον ομάδων αδύναμων τεράτων, αλλά άχρηστο εναντίον ενός μεγάλου, δυνατού αντιπάλου ή εναντίον απέθαντων (π.χ. σκελετοί, ζόμπι)."
"Shield (Ασπίδα); 1; Μάγος; Abjuration; Ο εαυτός σας (Self); Αντίδραση (Reaction); —; +5 AC; Μέχρι την αρχή της επόμενης σειράς σας; Ένα αόρατο εμπόδιο μαγείας εμφανίζεται τη στιγμή που δέχεστε επίθεση, μπλοκάροντας το χτύπημα την τελευταία στιγμή. Το αγαπημένο ξόρκι κάθε μάγου που δεν θέλει να χτυπηθεί — αλλά θυμηθείτε ότι ρίχνεται μόνο ως αντίδραση, ποτέ στη δική σας σειρά."
"Mage Armor (Πανοπλία του Μάγου); 1; Μάγος; Abjuration; Άγγιγμα; Αυτόματο (Automatic); —; AC = 13 + modifier Επιδεξιότητας; 8 ώρες; Ένα λαμπερό μαγικό κέλυφος τυλίγει τον μάγο, αντικαθιστώντας την ανάγκη για πανοπλία. Καλό να το ρίξετε πριν από την περιπέτεια, αφού διαρκεί 8 ώρες."
"Detect Magic (Ανίχνευση Μαγείας); 1; Μάγος / Ιερέας; Divination; Γύρω σας (9m); Αυτόματο (Automatic); —; Νιώθετε/βλέπετε μαγικές πηγές; 10 λεπτά; Ο μάγος ή ο ιερέας νιώθει την παρουσία μαγείας τριγύρω και βλέπει μια αχνή λάμψη γύρω από ό,τι είναι μαγικό. Χρήσιμο πριν ανοίξετε ένα ύποπτο σεντούκι ή μπείτε σε ένα δωμάτιο γεμάτο παγίδες."
"Cure Wounds (Θεραπεία Τραυμάτων); 1; Ιερέας; Evocation; Άγγιγμα; Αυτόματο (Automatic); —; Θεραπεύει 1d8 + modifier Σοφίας HP; Στιγμιαία (Instant); Ένα ζεστό, θεραπευτικό φως ρέει από το χέρι του ιερέα στην πληγή ενός συμμάχου. Το πιο σημαντικό ξόρκι για να κρατάτε την ομάδα ζωντανή — καλό να έχετε πάντα ένα slot έτοιμο για έκτακτη ανάγκη."
"Guiding Bolt (Φωτεινή Βολή); 1; Ιερέας; Evocation; 36m; Ζαριά Επίθεσης (Attack Roll); —; 4d6 ζημιά ακτινοβολίας (radiant), επόμενο χτύπημα στον στόχο έχει Πλεονέκτημα; Στιγμιαία (Instant); Μια λάμψη φωτός πετάγεται από τα χέρια του ιερέα και σημαδεύει τον εχθρό, δίνοντας στον επόμενο σύμμαχο που θα χτυπήσει τον ίδιο στόχο σιγουριά στο χτύπημά του. Καλή συνεργασία: ο ιερέας «σημαδεύει», ο πολεμιστής χτυπάει σίγουρα."
